#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
700000	62599.953125	10158.838798	120.674174697	6749.99980563	0.00166053883015	8.85e+03
704000	62517.3398438	10091.4338523	119.873489072	6749.99980563	0.00166053883015	8.85e+03
708000	62543.6015625	10057.5916288	119.471486198	6749.99980563	0.00166053883015	8.85e+03
712000	62516.671875	10195.5881184	121.11071021	6749.99980563	0.00166053883015	8.85e+03
716000	62544.1992188	10122.6471089	120.244263139	6749.99980563	0.00166053883015	8.85e+03
720000	62539.9179688	9981.42925428	118.566773379	6749.99980563	0.00166053883015	8.85e+03
724000	62535.578125	9925.82824899	117.906303658	6749.99980563	0.00166053883015	8.85e+03
728000	62530.859375	10113.330302	120.13359124	6749.99980563	0.00166053883015	8.85e+03
732000	62586.1796875	10279.6971647	122.109819454	6749.99980563	0.00166053883015	8.85e+03
736000	62551.09375	9920.52538807	117.843312368	6749.99980563	0.00166053883015	8.85e+03
740000	62526.9960938	10017.0546286	118.989957832	6749.99980563	0.00166053883015	8.84e+03
744000	62551.46875	10369.0343111	123.171031924	6749.99980563	0.00166053883015	8.84e+03
748000	62569.546875	10008.8360473	118.892331466	6749.99980563	0.00166053883015	8.84e+03
752000	62514.7421875	10202.1499662	121.188656674	6749.99980563	0.00166053883015	8.84e+03
756000	62532.2929688	10111.9459234	120.117146571	6749.99980563	0.00166053883015	8.84e+03
760000	62558.3789062	10012.010235	118.930036808	6749.99980563	0.00166053883015	8.84e+03
764000	62529.3515625	10042.6741767	119.294285708	6749.99980563	0.00166053883015	8.84e+03
768000	62544.4453125	10106.9172987	120.057412861	6749.99980563	0.00166053883015	8.84e+03
772000	62518.5546875	9889.76726271	117.477944685	6749.99980563	0.00166053883015	8.84e+03
776000	62537.5117188	10219.7731163	121.397997441	6749.99980563	0.00166053883015	8.84e+03
780000	62553.859375	10231.454989	121.536763335	6749.99980563	0.00166053883015	8.84e+03
784000	62532.546875	9943.620003	118.117647226	6749.99980563	0.00166053883015	8.84e+03
788000	62579.5976562	10318.4537916	122.570199233	6749.99980563	0.00166053883015	8.84e+03
792000	62523.828125	10152.7430323	120.601764699	6749.99980563	0.00166053883015	8.83e+03
796000	62542.4179688	10247.9951087	121.733239067	6749.99980563	0.00166053883015	8.83e+03
800000	62522.6367188	10060.9597305	119.511494993	6749.99980563	0.00166053883015	8.83e+03
804000	62554.8398438	10167.9973352	120.782966552	6749.99980563	0.00166053883015	8.83e+03
808000	62556.3515625	9999.5006146	118.781438316	6749.99980563	0.00166053883015	8.83e+03
812000	62565.109375	10093.2358791	119.894894875	6749.99980563	0.00166053883015	8.83e+03
816000	62548.7421875	9991.63236779	118.687973481	6749.99980563	0.00166053883015	8.83e+03
820000	62568.2734375	10118.377305	120.193543262	6749.99980563	0.00166053883015	8.83e+03
824000	62534.203125	10095.2491421	119.918809896	6749.99980563	0.00166053883015	8.83e+03
828000	62542.109375	9885.32376277	117.425161518	6749.99980563	0.00166053883015	8.83e+03
832000	62539.1132812	10121.3663871	120.229049782	6749.99980563	0.00166053883015	8.83e+03
836000	62569.2929688	10061.8426291	119.521982713	6749.99980563	0.00166053883015	8.82e+03
840000	62550.875	10009.970787	118.905810741	6749.99980563	0.00166053883015	8.82e+03
844000	62491.6601562	10280.3972695	122.118135814	6749.99980563	0.00166053883015	8.82e+03
848000	62571.6640625	10073.2794208	119.657837354	6749.99980563	0.00166053883015	8.82e+03
852000	62540.0390625	10032.0682747	119.168300987	6749.99980563	0.00166053883015	8.82e+03
856000	62508.0742188	10056.4074793	119.457419997	6749.99980563	0.00166053883015	8.82e+03
860000	62534.4296875	10176.2579668	120.881092423	6749.99980563	0.00166053883015	8.82e+03
864000	62511.4492188	10076.4422055	119.695407242	6749.99980563	0.00166053883015	8.82e+03
868000	62548.921875	10220.7691522	121.40982909	6749.99980563	0.00166053883015	8.82e+03
872000	62528.40625	10068.2548541	119.598151848	6749.99980563	0.00166053883015	8.82e+03
876000	62553.90625	10266.700105	121.9554308	6749.99980563	0.00166053883015	8.82e+03
880000	62528.6640625	10094.1491311	119.905743155	6749.99980563	0.00166053883015	8.82e+03
884000	62522.8125	10016.7238136	118.986028168	6749.99980563	0.00166053883015	8.82e+03
888000	62506.9609375	10007.5810637	118.877423846	6749.99980563	0.00166053883015	8.82e+03
892000	62539.734375	10042.0239062	119.286561315	6749.99980563	0.00166053883015	8.82e+03
896000	62525.203125	10220.3807565	121.405215439	6749.99980563	0.00166053883015	8.82e+03
900000	62567.4453125	10268.8166737	121.980572963	6749.99980563	0.00166053883015	8.82e+03
904000	62583.6875	10027.3959056	119.112799142	6749.99980563	0.00166053883015	8.82e+03
908000	62546.984375	9966.75564063	118.392469381	6749.99980563	0.00166053883015	8.83e+03
912000	62562.5703125	10072.6265905	119.650082555	6749.99980563	0.00166053883015	8.83e+03
916000	62519.515625	10115.0374104	120.153869532	6749.99980563	0.00166053883015	8.83e+03
920000	62547.34375	10213.7674488	121.326657695	6749.99980563	0.00166053883015	8.83e+03
924000	62537.3828125	10072.960419	119.654048016	6749.99980563	0.00166053883015	8.83e+03
928000	62548.8359375	10057.3347056	119.468434275	6749.99980563	0.00166053883015	8.83e+03
932000	62523.8046875	10272.7825153	122.027682152	6749.99980563	0.00166053883015	8.83e+03
936000	62513.7617188	10131.8349363	120.353402925	6749.99980563	0.00166053883015	8.83e+03
940000	62593.3671875	10220.9754468	121.412279608	6749.99980563	0.00166053883015	8.83e+03
944000	62570.4453125	10309.8997601	122.468588143	6749.99980563	0.00166053883015	8.83e+03
948000	62524.7421875	9973.51979606	118.472819005	6749.99980563	0.00166053883015	8.83e+03
952000	62532.4335938	10358.0317214	123.040335054	6749.99980563	0.00166053883015	8.83e+03
956000	62502.375	10063.584402	119.542672775	6749.99980563	0.00166053883015	8.83e+03
960000	62544.34375	10118.5338178	120.195402436	6749.99980563	0.00166053883015	8.83e+03
964000	62553.9609375	10251.4140029	121.773851212	6749.99980563	0.00166053883015	8.83e+03
968000	62564.609375	10278.6998858	122.097973041	6749.99980563	0.00166053883015	8.83e+03
972000	62505.1953125	9955.71140723	118.261277837	6749.99980563	0.00166053883015	8.83e+03
976000	62524.3125	10198.1080793	121.140644163	6749.99980563	0.00166053883015	8.83e+03
980000	62569.3359375	10271.0779657	122.007434256	6749.99980563	0.00166053883015	8.83e+03
984000	62544.8789062	10147.5296814	120.539836675	6749.99980563	0.00166053883015	8.83e+03
988000	62547.7421875	10014.7248787	118.962283346	6749.99980563	0.00166053883015	8.83e+03
992000	62534.28125	9940.4658406	118.08017976	6749.99980563	0.00166053883015	8.83e+03
996000	62543.578125	10131.0667447	120.344277779	6749.99980563	0.00166053883015	8.83e+03
1000000	62549.421875	10394.6435239	123.475237028	6749.99980563	0.00166053883015	8.83e+03
1004000	62515.2304688	9944.17766119	118.124271501	6749.99980563	0.00166053883015	8.83e+03
1008000	62525.34375	10008.0137633	118.882563772	6749.99980563	0.00166053883015	8.83e+03
1012000	62531.6640625	10234.6630913	121.574871538	6749.99980563	0.00166053883015	8.83e+03
1016000	62557.4960938	10036.3768095	119.219480938	6749.99980563	0.00166053883015	8.83e+03
1020000	62522.953125	10221.7052932	121.420949262	6749.99980563	0.00166053883015	8.83e+03
1024000	62580.6875	10047.1801867	119.347811415	6749.99980563	0.00166053883015	8.83e+03
1028000	62543.5078125	10156.3192494	120.644245642	6749.99980563	0.00166053883015	8.83e+03
1032000	62565.4296875	10172.6761884	120.83854542	6749.99980563	0.00166053883015	8.83e+03
1036000	62538.3828125	9980.07359921	118.550669909	6749.99980563	0.00166053883015	8.83e+03
1040000	62528.7265625	10043.9935562	119.309958269	6749.99980563	0.00166053883015	8.83e+03
1044000	62535.890625	10202.9538658	121.198205987	6749.99980563	0.00166053883015	8.83e+03
1048000	62550.5351562	10150.2874942	120.572596008	6749.99980563	0.00166053883015	8.83e+03
1052000	62566.5546875	10105.7094159	120.043064738	6749.99980563	0.00166053883015	8.83e+03
1056000	62504.203125	10144.3651412	120.502245934	6749.99980563	0.00166053883015	8.83e+03
1060000	62546.1953125	10120.1151757	120.214186971	6749.99980563	0.00166053883015	8.83e+03
1064000	62552.6875	10187.0655617	121.009473001	6749.99980563	0.00166053883015	8.83e+03
1068000	62472.421875	10232.5853515	121.550190614	6749.99980563	0.00166053883015	8.83e+03
1072000	62522.9375	10132.4694026	120.360939583	6749.99980563	0.00166053883015	8.83e+03
1076000	62576.265625	10153.2327147	120.607581508	6749.99980563	0.00166053883015	8.83e+03
1080000	62548.15625	10281.2986772	122.1288434	6749.99980563	0.00166053883015	8.83e+03
1084000	62538.734375	10006.3047073	118.862262344	6749.99980563	0.00166053883015	8.83e+03
1088000	62551.0	10373.6294611	123.225616502	6749.99980563	0.00166053883015	8.83e+03
1092000	62577.6914062	10388.5444414	123.402787631	6749.99980563	0.00166053883015	8.83e+03
1096000	62572.8984375	10212.4371114	121.310854968	6749.99980563	0.00166053883015	8.83e+03
1100000	62556.015625	10140.2876029	120.453809929	6749.99980563	0.00166053883015	8.83e+03
