#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
760000	58399.21875	10168.7005859	120.791320282	6750.0	0.00166053878234	4.63e+03
764000	58443.6328125	10182.3102115	120.952985446	6750.0	0.00166053878234	4.64e+03
768000	58497.7929688	9987.10960355	118.634248754	6750.0	0.00166053878234	4.66e+03
772000	58469.5664062	10178.92439	120.912766163	6750.0	0.00166053878234	4.67e+03
776000	58467.4296875	9998.3760394	118.768079783	6750.0	0.00166053878234	4.68e+03
780000	58442.921875	10160.097083	120.689121533	6750.0	0.00166053878234	4.7e+03
784000	58419.09375	10242.4627697	121.667521867	6750.0	0.00166053878234	4.71e+03
788000	58328.46875	10103.8209259	120.020631862	6750.0	0.00166053878234	4.72e+03
792000	58426.3164062	10091.0901892	119.869406789	6750.0	0.00166053878234	4.74e+03
796000	58435.125	10138.2502142	120.429608324	6750.0	0.00166053878234	4.75e+03
800000	58470.0234375	10120.0093508	120.212929904	6750.0	0.00166053878234	4.77e+03
804000	58444.046875	10243.3309571	121.677834837	6750.0	0.00166053878234	4.78e+03
808000	58429.9921875	10003.8512503	118.833118374	6750.0	0.00166053878234	4.79e+03
812000	58476.4023438	10189.7192923	121.040995968	6750.0	0.00166053878234	4.81e+03
816000	58494.546875	10122.5516127	120.243128765	6750.0	0.00166053878234	4.82e+03
820000	58460.5078125	10238.8007804	121.624022059	6750.0	0.00166053878234	4.83e+03
824000	58549.7382812	10178.9040455	120.912524496	6750.0	0.00166053878234	4.84e+03
828000	58492.3515625	10203.4103939	121.203628965	6750.0	0.00166053878234	4.86e+03
832000	58507.3046875	10023.1562112	119.062436927	6750.0	0.00166053878234	4.87e+03
836000	58422.5703125	10072.687375	119.650804598	6750.0	0.00166053878234	4.88e+03
840000	58372.890625	10066.4571465	119.576797352	6750.0	0.00166053878234	4.9e+03
844000	58456.2890625	10195.8858049	121.11424635	6750.0	0.00166053878234	4.91e+03
848000	58505.984375	10258.5779972	121.858950416	6750.0	0.00166053878234	4.92e+03
852000	58437.3125	10168.3798887	120.787510805	6750.0	0.00166053878234	4.93e+03
856000	58452.875	10027.4166719	119.11304582	6750.0	0.00166053878234	4.95e+03
860000	58411.7695312	9987.21735699	118.635528729	6750.0	0.00166053878234	4.96e+03
864000	58479.1914062	10228.7728554	121.504902976	6750.0	0.00166053878234	4.97e+03
868000	58466.1484375	9980.92264586	118.560755511	6750.0	0.00166053878234	4.98e+03
872000	58464.953125	10256.9518971	121.839634402	6750.0	0.00166053878234	4.99e+03
876000	58517.125	10165.9879992	120.759098178	6750.0	0.00166053878234	5.01e+03
880000	58419.4609375	10169.6719392	120.802858732	6750.0	0.00166053878234	5.02e+03
884000	58407.4765625	9971.71044787	118.451326233	6750.0	0.00166053878234	5.03e+03
888000	58457.828125	10162.1007832	120.712922962	6750.0	0.00166053878234	5.04e+03
892000	58384.1640625	10132.1599438	120.357263603	6750.0	0.00166053878234	5.05e+03
896000	58437.453125	10167.8917727	120.781712603	6750.0	0.00166053878234	5.07e+03
900000	58464.078125	9990.75983226	118.677608861	6750.0	0.00166053878234	5.08e+03
904000	58484.9609375	10268.3614307	121.97516525	6750.0	0.00166053878234	5.09e+03
908000	58371.90625	10190.739839	121.053118774	6750.0	0.00166053878234	5.1e+03
912000	58364.3164062	10073.0146083	119.654691716	6750.0	0.00166053878234	5.11e+03
916000	58402.1640625	10162.6586708	120.719549962	6750.0	0.00166053878234	5.12e+03
920000	58334.0039062	10326.7416803	122.668648884	6750.0	0.00166053878234	5.14e+03
924000	58401.0703125	10117.6111926	120.184442814	6750.0	0.00166053878234	5.15e+03
928000	58353.9570312	10013.6527674	118.949548018	6750.0	0.00166053878234	5.16e+03
932000	58492.0859375	10138.6137258	120.433926383	6750.0	0.00166053878234	5.17e+03
936000	58426.4375	10342.3508633	122.854066264	6750.0	0.00166053878234	5.18e+03
940000	58406.7890625	10194.1649225	121.093804441	6750.0	0.00166053878234	5.19e+03
944000	58394.2265625	10202.6400216	121.194477914	6750.0	0.00166053878234	5.2e+03
948000	58488.3242188	10176.3652709	120.88236706	6750.0	0.00166053878234	5.21e+03
952000	58383.484375	10158.7644617	120.673291675	6750.0	0.00166053878234	5.22e+03
956000	58552.328125	10259.7198321	121.872513974	6750.0	0.00166053878234	5.23e+03
960000	58337.6914062	10239.554694	121.632977601	6750.0	0.00166053878234	5.25e+03
964000	58324.5195312	10243.711583	121.682356192	6750.0	0.00166053878234	5.26e+03
968000	58423.2695312	10163.7988099	120.733093374	6750.0	0.00166053878234	5.27e+03
972000	58504.5703125	9931.22759068	117.970441018	6750.0	0.00166053878234	5.28e+03
976000	58388.3007812	9982.59683953	118.580642817	6750.0	0.00166053878234	5.29e+03
980000	58437.7929688	10067.6520385	119.590991159	6750.0	0.00166053878234	5.3e+03
984000	58459.40625	10109.3877955	120.086759242	6750.0	0.00166053878234	5.31e+03
988000	58447.2265625	9967.5907164	118.402389027	6750.0	0.00166053878234	5.32e+03
992000	58389.5742188	10172.9024461	120.841233075	6750.0	0.00166053878234	5.33e+03
996000	58499.96875	10163.2414671	120.726472846	6750.0	0.00166053878234	5.34e+03
1000000	58378.140625	10233.4490485	121.560450243	6750.0	0.00166053878234	5.35e+03
1004000	58486.8046875	10008.7714351	118.891563955	6750.0	0.00166053878234	5.36e+03
1008000	58424.9726562	10176.0983913	120.879196867	6750.0	0.00166053878234	5.37e+03
1012000	58398.4414062	9977.32570665	118.518028416	6750.0	0.00166053878234	5.38e+03
1016000	58365.6289062	10062.8713521	119.534202643	6750.0	0.00166053878234	5.39e+03
1020000	58375.3789062	10232.7597394	121.552262122	6750.0	0.00166053878234	5.4e+03
1024000	58533.6679688	10063.3744849	119.540179225	6750.0	0.00166053878234	5.41e+03
