
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
1.1385e+00  1.6902e+04  1.4647e+04  
1.1883e+00  1.8643e+04  1.6110e+04  
1.2382e+00  2.0081e+04  1.7533e+04  
1.2880e+00  2.1544e+04  1.9069e+04  
1.3378e+00  2.3152e+04  2.0595e+04  
1.3877e+00  2.4731e+04  2.2289e+04  
1.4375e+00  2.6150e+04  2.3966e+04  
1.4873e+00  2.7782e+04  2.5818e+04  
1.5371e+00  2.9221e+04  2.7666e+04  
1.5870e+00  3.0774e+04  2.9591e+04  
1.6368e+00  3.2585e+04  3.1548e+04  
1.6866e+00  3.4283e+04  3.3580e+04  
1.7364e+00  3.6273e+04  3.5679e+04  
1.7863e+00  3.8364e+04  3.7985e+04  
1.8361e+00  4.0485e+04  4.0320e+04  
1.8859e+00  4.2790e+04  4.2587e+04  
1.9357e+00  4.5166e+04  4.4988e+04  
1.9856e+00  4.7575e+04  4.7489e+04  
2.0354e+00  5.0175e+04  5.0121e+04  
2.0852e+00  5.2885e+04  5.2659e+04  
2.1350e+00  5.5534e+04  5.5416e+04  
2.1849e+00  5.8557e+04  5.8241e+04  
2.2347e+00  6.1330e+04  6.0994e+04  
2.2845e+00  6.4333e+04  6.3921e+04  
2.3343e+00  6.7386e+04  6.6837e+04  
2.3842e+00  7.0404e+04  6.9900e+04  
2.4340e+00  7.3573e+04  7.3126e+04  
2.4838e+00  7.6673e+04  7.6276e+04  
2.5336e+00  7.9803e+04  7.9526e+04  
2.5835e+00  8.3222e+04  8.2930e+04  
2.6333e+00  8.6578e+04  8.6114e+04  
2.6831e+00  8.9798e+04  8.9628e+04  
2.7329e+00  9.3269e+04  9.3178e+04  
2.7828e+00  9.6996e+04  9.6761e+04  
2.8326e+00  1.0051e+05  1.0039e+05  
2.8824e+00  1.0408e+05  1.0432e+05  
2.9322e+00  1.0800e+05  1.0789e+05  
2.9821e+00  1.1184e+05  1.1183e+05  
3.0319e+00  1.1582e+05  1.1594e+05  
3.0817e+00  1.1989e+05  1.2003e+05  
3.1315e+00  1.2407e+05  1.2394e+05  
3.1814e+00  1.2790e+05  1.2813e+05  
3.2312e+00  1.3242e+05  1.3253e+05  
3.2810e+00  1.3646e+05  1.3668e+05  
3.3308e+00  1.4129e+05  1.4118e+05  
3.3807e+00  1.4558e+05  1.4584e+05  
3.4305e+00  1.5026e+05  1.5025e+05  
3.4803e+00  1.5477e+05  1.5477e+05  
3.5302e+00  1.5968e+05  1.5931e+05  
3.5800e+00  1.6469e+05  1.6437e+05  
3.6298e+00  1.6962e+05  1.6937e+05  
3.6796e+00  1.7483e+05  1.7426e+05  
3.7295e+00  1.7972e+05  1.7915e+05  
3.7793e+00  1.8476e+05  1.8452e+05  
3.8291e+00  1.9016e+05  1.8959e+05  
3.8789e+00  1.9546e+05  1.9516e+05  
3.9288e+00  2.0071e+05  2.0029e+05  
3.9786e+00  2.0641e+05  2.0579e+05  
4.0284e+00  2.1217e+05  2.1128e+05  
4.0782e+00  2.1770e+05  2.1725e+05  
4.1281e+00  2.2353e+05  2.2280e+05  
4.1779e+00  2.2952e+05  2.2875e+05  
4.2277e+00  2.3535e+05  2.3467e+05  
4.2775e+00  2.4162e+05  2.4086e+05  
4.3274e+00  2.4764e+05  2.4698e+05  
4.3772e+00  2.5379e+05  2.5313e+05  
4.4270e+00  2.6008e+05  2.5932e+05  
4.4768e+00  2.6670e+05  2.6597e+05  
4.5267e+00  2.7334e+05  2.7216e+05  
4.5765e+00  2.8025e+05  2.7926e+05  
4.6263e+00  2.8656e+05  2.8599e+05  
4.6761e+00  2.9355e+05  2.9249e+05  
4.7260e+00  3.0063e+05  2.9956e+05  
4.7758e+00  3.0747e+05  3.0608e+05  
4.8256e+00  3.1471e+05  3.1355e+05  
4.8754e+00  3.2191e+05  3.2076e+05  
4.9253e+00  3.2953e+05  3.2810e+05  
4.9751e+00  3.3683e+05  3.3551e+05  

POTENTIAL Uext

arg         target      model       
-1.4850e+01 1.1020e+02  1.0871e+02  
-1.4550e+01 1.1968e+02  1.1851e+02  
-1.4250e+01 1.2762e+02  1.2791e+02  
-1.3950e+01 1.3810e+02  1.3671e+02  
-1.3650e+01 1.4512e+02  1.4633e+02  
-1.3350e+01 1.5260e+02  1.5331e+02  
-1.3050e+01 1.6263e+02  1.6306e+02  
-1.2750e+01 1.7017e+02  1.7224e+02  
-1.2450e+01 1.7752e+02  1.7305e+02  
-1.2150e+01 1.8122e+02  1.8080e+02  
-1.1850e+01 1.8738e+02  1.8773e+02  
-1.1550e+01 1.9027e+02  1.9442e+02  
-1.1250e+01 1.9878e+02  1.9816e+02  
-1.0950e+01 2.0275e+02  2.0256e+02  
-1.0650e+01 2.0408e+02  2.0487e+02  
-1.0350e+01 2.0837e+02  2.1016e+02  
-1.0050e+01 2.1278e+02  2.1222e+02  
-9.7499e+00 2.1347e+02  2.1373e+02  
-9.4499e+00 2.1533e+02  2.1843e+02  
-9.1499e+00 2.1548e+02  2.1817e+02  
-8.8499e+00 2.2150e+02  2.1987e+02  
-8.5499e+00 2.1927e+02  2.2069e+02  
-8.2499e+00 2.1788e+02  2.2310e+02  
-7.9499e+00 2.2100e+02  2.2205e+02  
-7.6499e+00 2.2408e+02  2.2537e+02  
-7.3499e+00 2.2100e+02  2.2382e+02  
-7.0499e+00 2.1893e+02  2.2038e+02  
-6.7499e+00 2.2217e+02  2.2113e+02  
-6.4499e+00 2.2112e+02  2.2414e+02  
-6.1499e+00 2.2112e+02  2.2012e+02  
-5.8499e+00 2.1460e+02  2.1662e+02  
-5.5499e+00 2.1610e+02  2.1868e+02  
-5.2500e+00 2.1618e+02  2.1411e+02  
-4.9500e+00 2.1003e+02  2.1109e+02  
-4.6500e+00 2.1083e+02  2.0705e+02  
-4.3500e+00 2.0188e+02  2.0644e+02  
-4.0500e+00 2.0052e+02  2.0231e+02  
-3.7500e+00 1.9938e+02  1.9833e+02  
-3.4500e+00 1.9398e+02  1.9638e+02  
-3.1500e+00 1.8748e+02  1.8743e+02  
-2.8500e+00 1.8372e+02  1.8158e+02  
-2.5500e+00 1.7543e+02  1.7809e+02  
-2.2500e+00 1.6880e+02  1.6758e+02  
-1.9500e+00 1.6127e+02  1.6238e+02  
-1.6500e+00 1.5340e+02  1.5337e+02  
-1.3500e+00 1.4422e+02  1.4469e+02  
-1.0500e+00 1.3870e+02  1.3733e+02  
-7.4996e-01 1.2773e+02  1.2845e+02  
-4.4996e-01 1.2020e+02  1.1755e+02  
-1.4996e-01 1.0910e+02  1.1019e+02  
1.5004e-01  9.9267e+01  9.9000e+01  
4.5004e-01  9.1500e+01  9.0574e+01  
7.5004e-01  8.2467e+01  8.1352e+01  
1.0500e+00  7.6200e+01  7.5605e+01  
1.3500e+00  6.8133e+01  6.7190e+01  
1.6500e+00  6.0267e+01  6.0662e+01  
1.9500e+00  5.4067e+01  5.3541e+01  
2.2500e+00  4.9450e+01  4.7627e+01  
2.5500e+00  4.5150e+01  4.2730e+01  
2.8500e+00  3.8183e+01  3.9321e+01  
3.1500e+00  3.4917e+01  3.4603e+01  
3.4500e+00  3.1900e+01  3.1298e+01  
3.7500e+00  2.9717e+01  2.8814e+01  
4.0500e+00  2.6133e+01  2.7310e+01  
