
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
4.1138e+00  3.4940e+05  3.4809e+05  
4.1737e+00  3.5961e+05  3.5859e+05  
4.2336e+00  3.7005e+05  3.6885e+05  
4.2935e+00  3.8068e+05  3.7933e+05  
4.3533e+00  3.9134e+05  3.9037e+05  
4.4132e+00  4.0232e+05  4.0074e+05  
4.4731e+00  4.1333e+05  4.1177e+05  
4.5330e+00  4.2458e+05  4.2291e+05  
4.5928e+00  4.3593e+05  4.3408e+05  
4.6527e+00  4.4733e+05  4.4585e+05  
4.7126e+00  4.5898e+05  4.5738e+05  
4.7725e+00  4.7083e+05  4.6906e+05  
4.8324e+00  4.8280e+05  4.8109e+05  
4.8922e+00  4.9481e+05  4.9318e+05  
4.9521e+00  5.0710e+05  5.0544e+05  
5.0120e+00  5.1951e+05  5.1785e+05  
5.0719e+00  5.3201e+05  5.3016e+05  
5.1318e+00  5.4479e+05  5.4308e+05  
5.1916e+00  5.5764e+05  5.5576e+05  
5.2515e+00  5.7075e+05  5.6884e+05  
5.3114e+00  5.8392e+05  5.8173e+05  
5.3713e+00  5.9696e+05  5.9520e+05  
5.4312e+00  6.1044e+05  6.0864e+05  
5.4910e+00  6.2418e+05  6.2207e+05  
5.5509e+00  6.3797e+05  6.3586e+05  
5.6108e+00  6.5166e+05  6.4962e+05  
5.6707e+00  6.6602e+05  6.6395e+05  
5.7306e+00  6.8021e+05  6.7827e+05  
5.7904e+00  6.9460e+05  6.9256e+05  
5.8503e+00  7.0908e+05  7.0729e+05  
5.9102e+00  7.2373e+05  7.2163e+05  
5.9701e+00  7.3840e+05  7.3654e+05  

POTENTIAL LJGaussAC

arg         target      model       
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
1.0000e+00  0.0000e+00  0.0000e+00  
