#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
3700	43362.6171875	2961.2715729661286	46323.88876046613	118.71956131176887	2.0	19.926465388026116	3.98e+03
3800	43384.1875	2984.3308200924657	46368.518320092466	119.64402353536572	2.0	19.926465388026116	3.98e+03
3900	43349.546875	3008.2957487739623	46357.84262377396	120.60479520045328	2.0	19.926465388026116	3.98e+03
4000	43357.80078125	3017.2375309682684	46375.03831221827	120.96327784322897	2.0	19.926465388026116	3.97e+03
4100	43342.703125	3012.7627958640805	46355.46592086408	120.78388241276413	2.0	19.926465388026116	3.97e+03
4200	43367.8203125	2997.171725523658	46364.99203802366	120.1588249043297	2.0	19.926465388026116	3.97e+03
4300	43363.6328125	3124.712371567264	46488.345184067264	125.27202346603747	2.0	19.926465388026116	3.97e+03
4400	43355.140625	2957.621251120232	46312.76187612023	118.57321721683756	2.0	19.926465388026116	3.97e+03
4500	43347.625	3034.6524233995005	46382.2774233995	121.66145372436122	2.0	19.926465388026116	3.97e+03
4600	43368.94140625	3016.7605513501912	46385.70195760019	120.94415537856557	2.0	19.926465388026116	3.97e+03
4700	43366.3203125	2972.183691434562	46338.50400393456	119.1570361889065	2.0	19.926465388026116	3.97e+03
4800	43334.84375	2995.645803142339	46330.48955314234	120.09764955068778	2.0	19.926465388026116	3.97e+03
4900	43361.671875	3079.552487607114	46441.224362607114	123.46153041245061	2.0	19.926465388026116	3.97e+03
5000	43350.8984375	2997.9906389769167	46348.88907647692	120.19165574862332	2.0	19.926465388026116	3.96e+03
5100	43361.0625	2984.2524590706453	46345.314959070645	119.64088198420933	2.0	19.926465388026116	3.96e+03
5200	43389.8203125	2998.909116972238	46388.72942947224	120.22847820883754	2.0	19.926465388026116	3.96e+03
5300	43361.58203125	3011.2488764245063	46372.830907674506	120.72318826590897	2.0	19.926465388026116	3.96e+03
5400	43355.90625	2941.120559844596	46297.026809844596	117.91169233426074	2.0	19.926465388026116	3.96e+03
5500	43342.8515625	2960.0978997836355	46302.949462283636	118.6725078882933	2.0	19.926465388026116	3.96e+03
5600	43358.640625	3060.871050600428	46419.51167560043	122.71257782520591	2.0	19.926465388026116	3.96e+03
